date,se,browser,hits,hits_fixed,hits_week_trend,hits_week_seasonal,hits_year_trend,hits_year_seasonal
2014-01-01,search,chrome,44778823.0,44778823.0,49612486.0,48984981.0,55226361.0,52950126.0
2014-01-01,yandex,chrome,16237589.0,16237589.0,17897257.0,17795981.0,21723415.0,20335246.0
2014-01-02,search,chrome,52448725.0,52448725.0,51171924.0,52391145.0,55223577.0,53508809.0
2014-01-02,yandex,chrome,18979110.0,18979110.0,18572766.0,19087406.0,21719025.0,20563998.0
2014-01-03,search,chrome,54640145.0,54640145.0,52731362.0,53220033.0,55220792.0,54312211.0
2014-01-03,yandex,chrome,19950733.0,19950733.0,19248276.0,19460509.0,21714636.0,20895750.0
2014-01-04,search,chrome,55238621.0,55238621.0,54254495.0,50691947.0,55218007.0,55251560.0
2014-01-04,yandex,chrome,20260880.0,20260880.0,19910296.0,18275080.0,21710246.0,21285287.0
2014-01-05,search,chrome,56777976.0,56777976.0,55777628.0,55281855.0,55215223.0,56389573.0
2014-01-05,yandex,chrome,20793473.0,20793473.0,20572316.0,20182773.0,21705856.0,21759955.0
2014-01-06,search,chrome,56519674.0,56519674.0,57251707.0,59098630.0,55212438.0,57544584.0
2014-01-06,yandex,chrome,20949727.0,20949727.0,21216340.0,22073421.0,21701466.0,22245602.0
2014-01-07,search,chrome,58185404.0,58185404.0,58725786.0,59863216.0,55209653.0,58695849.0
2014-01-07,yandex,chrome,21712488.0,21712488.0,21860364.0,22403281.0,21697077.0,22737282.0
2014-01-08,search,chrome,61462878.0,61462878.0,59678873.0,59251444.0,55206869.0,59640522.0
2014-01-08,yandex,chrome,22994435.0,22994435.0,22293155.0,22275909.0,21692687.0,23149135.0
2014-01-09,search,chrome,63936130.0,63936130.0,60631961.0,61828141.0,55204084.0,60565835.0
2014-01-09,yandex,chrome,24156088.0,24156088.0,22725947.0,23238796.0,21688297.0,23555287.0
2014-01-10,search,chrome,64614014.0,64614014.0,61184731.0,61523493.0,55201299.0,61324932.0
2014-01-10,yandex,chrome,24573289.0,24573289.0,22987421.0,23137860.0,21683907.0,23889015.0
2014-01-11,search,chrome,58488279.0,58488279.0,61737501.0,57938170.0,55198514.0,61951269.0
2014-01-11,yandex,chrome,21778323.0,21778323.0,23248894.0,21505144.0,21679518.0,24163969.0
2014-01-12,search,chrome,61525243.0,61525243.0,61868976.0,61292792.0,55195730.0,62334699.0
2014-01-12,yandex,chrome,23050926.0,23050926.0,23328368.0,22903049.0,21675128.0,24333814.0
2014-01-13,search,chrome,63449114.0,63449114.0,62000451.0,63977583.0,55192945.0,62584956.0
2014-01-13,yandex,chrome,24089549.0,24089549.0,23407842.0,24322412.0,21670738.0,24446614.0
2014-01-14,search,chrome,63447607.0,63447607.0,61858426.0,63049247.0,55190160.0,62693273.0
2014-01-14,yandex,chrome,24119656.0,24119656.0,23358629.0,23923330.0,21666348.0,24493096.0
2014-01-15,search,chrome,62227878.0,62227878.0,61716401.0,61785746.0,55187376.0,62783506.0
2014-01-15,yandex,chrome,23669155.0,23669155.0,23309416.0,23491426.0,21661959.0,24526066.0
2014-01-16,search,chrome,62035830.0,62035830.0,61759555.0,62950875.0,55184591.0,62942927.0
2014-01-16,yandex,chrome,23462220.0,23462220.0,23328610.0,23856792.0,21657569.0,24582196.0
2014-01-17,search,chrome,60425019.0,60425019.0,61802709.0,61903235.0,55181806.0,63083400.0
2014-01-17,yandex,chrome,22758992.0,22758992.0,23347804.0,23404919.0,21653179.0,24629127.0
2014-01-18,search,chrome,56396716.0,56396716.0,61881670.0,57573450.0,55179022.0,63228926.0
2014-01-18,yandex,chrome,20977634.0,20977634.0,23380103.0,21404654.0,21648789.0,24678674.0
2014-01-19,search,chrome,61290762.0,61290762.0,61960632.0,61234444.0,55176237.0,63383378.0
2014-01-19,yandex,chrome,22936460.0,22936460.0,23412403.0,22920145.0,21644400.0,24738242.0
2014-01-20,search,chrome,66518821.0,66518821.0,62110108.0,64412175.0,55173452.0,63569462.0
2014-01-20,yandex,chrome,25448142.0,25448142.0,23472370.0,24528282.0,21640010.0,24812169.0
2014-01-21,search,chrome,64702388.0,64702388.0,62259584.0,63653737.0,55170668.0,63769149.0
2014-01-21,yandex,chrome,24567384.0,24567384.0,23532338.0,24180310.0,21635620.0,24893256.0
2014-01-22,search,chrome,62947370.0,62947370.0,62475327.0,63619826.0,55167883.0,63973654.0
2014-01-22,yandex,chrome,23994273.0,23994273.0,23618883.0,24250330.0,21631230.0,24978712.0
2014-01-23,search,chrome,63065798.0,63065798.0,62691070.0,63780322.0,55165098.0,64108521.0
2014-01-23,yandex,chrome,23935965.0,23935965.0,23705428.0,24230627.0,21626841.0,25036517.0
2014-01-24,search,chrome,61265539.0,61265539.0,62829219.0,62189151.0,55162314.0,64180735.0
2014-01-24,yandex,chrome,23093381.0,23093381.0,23761416.0,23513636.0,21622451.0,25072829.0
2014-01-25,search,chrome,57811265.0,57811265.0,62967369.0,57542706.0,55159529.0,64207129.0
2014-01-25,yandex,chrome,21409279.0,21409279.0,23817404.0,21330689.0,21618061.0,25082719.0
2014-01-26,search,chrome,62335296.0,62335296.0,63097922.0,62120923.0,55156744.0,64211401.0
2014-01-26,yandex,chrome,23415751.0,23415751.0,23865163.0,23258904.0,21613671.0,25083746.0
2014-01-27,search,chrome,66677080.0,66677080.0,63228475.0,66457888.0,55153960.0,64147124.0
2014-01-27,yandex,chrome,25435896.0,25435896.0,23912922.0,25378853.0,21609282.0,25041375.0
2014-01-28,search,chrome,64943242.0,64943242.0,63199269.0,65062428.0,55151175.0,64017703.0
2014-01-28,yandex,chrome,24702400.0,24702400.0,23880917.0,24724677.0,21604892.0,24968058.0
2014-01-29,search,chrome,65860418.0,65860418.0,63170063.0,64408826.0,55148390.0,63848831.0
2014-01-29,yandex,chrome,25242638.0,25242638.0,23848913.0,24496017.0,21600502.0,24872245.0
2014-01-30,search,chrome,65320122.0,65320122.0,62939670.0,63929720.0,55145606.0,63618493.0
2014-01-30,yandex,chrome,24861034.0,24861034.0,23722924.0,24235569.0,21596112.0,24746000.0
2014-01-31,search,chrome,62786014.0,62786014.0,62709277.0,61661753.0,55142821.0,63429987.0
2014-01-31,yandex,chrome,23676625.0,23676625.0,23596935.0,23204885.0,21591723.0,24635629.0
2014-02-01,search,chrome,55850136.0,55850136.0,62384338.0,56834494.0,55140036.0,63216787.0
2014-02-01,yandex,chrome,20410950.0,20410950.0,23417873.0,20850960.0,21587333.0,24507752.0
2014-02-02,search,chrome,60308843.0,60308843.0,62059399.0,61258130.0,55137252.0,63033849.0
2014-02-02,yandex,chrome,22232250.0,22232250.0,23238811.0,22692603.0,21582943.0,24398527.0
2014-02-03,search,chrome,64267089.0,64267089.0,61755113.0,65074251.0,55134467.0,62873754.0
2014-02-03,yandex,chrome,24293178.0,24293178.0,23062862.0,24568269.0,21578553.0,24294719.0
2014-02-04,search,chrome,63255525.0,63255525.0,61450828.0,63255158.0,55131682.0,62733284.0
2014-02-04,yandex,chrome,23746142.0,23746142.0,22886913.0,23716852.0,21574164.0,24211081.0
2014-02-05,search,chrome,62299368.0,62299368.0,61341557.0,62609112.0,55128898.0,62672831.0
2014-02-05,yandex,chrome,23243549.0,23243549.0,22806971.0,23388044.0,21569774.0,24164181.0
2014-02-06,search,chrome,61541652.0,61541652.0,61232286.0,62206514.0,55126113.0,62581601.0
2014-02-06,yandex,chrome,22912622.0,22912622.0,22727028.0,23254159.0,21565384.0,24108879.0
2014-02-07,search,chrome,59824990.0,59824990.0,61271641.0,60036251.0,55123328.0,62524379.0
2014-02-07,yandex,chrome,22150464.0,22150464.0,22727911.0,22309753.0,21560994.0,24072336.0
2014-02-08,search,chrome,56428759.0,56428759.0,61310996.0,55790741.0,55120544.0,62413529.0
2014-02-08,yandex,chrome,20343782.0,20343782.0,22728794.0,20198771.0,21556605.0,24017722.0
2014-02-09,search,chrome,60896866.0,60896866.0,61408504.0,61131138.0,55117759.0,62329937.0
2014-02-09,yandex,chrome,22329844.0,22329844.0,22790548.0,22447601.0,21552215.0,23986637.0
2014-02-10,search,chrome,65131165.0,65131165.0,61506012.0,64804013.0,55114974.0,62256752.0
2014-02-10,yandex,chrome,24420460.0,24420460.0,22852301.0,24356184.0,21547825.0,23961477.0
2014-02-11,search,chrome,63049743.0,63049743.0,61621294.0,63462046.0,55112189.0,62202826.0
2014-02-11,yandex,chrome,23525400.0,23525400.0,22950932.0,23813732.0,21543435.0,23955165.0
2014-02-12,search,chrome,62390237.0,62390237.0,61736577.0,62829556.0,55109405.0,62201923.0
2014-02-12,yandex,chrome,23129719.0,23129719.0,23049563.0,23475401.0,21539046.0,23966420.0
2014-02-13,search,chrome,62892838.0,62892838.0,61813339.0,62433053.0,55106620.0,62168347.0
2014-02-13,yandex,chrome,23784979.0,23784979.0,23143096.0,23515682.0,21534656.0,23966961.0
2014-02-14,search,chrome,60314577.0,60314577.0,61890101.0,60132165.0,55103835.0,62172474.0
2014-02-14,yandex,chrome,22830720.0,22830720.0,23236629.0,22606313.0,21530266.0,23977846.0
2014-02-15,search,chrome,56400499.0,56400499.0,61920706.0,56414647.0,55101051.0,62156951.0
2014-02-15,yandex,chrome,20899144.0,20899144.0,23308605.0,20823358.0,21525876.0,23980533.0
2014-02-16,search,chrome,62940064.0,62940064.0,61951310.0,62430100.0,55098266.0,62118416.0
2014-02-16,yandex,chrome,23564649.0,23564649.0,23380580.0,23377425.0,21521487.0,23968065.0
2014-02-17,search,chrome,65435458.0,65435458.0,61952254.0,65525240.0,55095481.0,62007763.0
2014-02-17,yandex,chrome,24992015.0,24992015.0,23424698.0,25049761.0,21517097.0,23919552.0
2014-02-18,search,chrome,64321223.0,64321223.0,61953198.0,63935739.0,55092697.0,61848520.0
2014-02-18,yandex,chrome,24648894.0,24648894.0,23468816.0,24391859.0,21512707.0,23847946.0
2014-02-19,search,chrome,62936398.0,62936398.0,61922150.0,62964461.0,55089912.0,61661168.0
2014-02-19,yandex,chrome,23872222.0,23872222.0,23483933.0,23857583.0,21508317.0,23758844.0
2014-02-20,search,chrome,61625947.0,61625947.0,61891102.0,62316870.0,55087127.0,61466713.0
2014-02-20,yandex,chrome,23424199.0,23424199.0,23499049.0,23794615.0,21503928.0,23672655.0
2014-02-21,search,chrome,59137046.0,59137046.0,61814902.0,59487345.0,55084343.0,61299802.0
2014-02-21,yandex,chrome,22444858.0,22444858.0,23489493.0,22573503.0,21499538.0,23600039.0
2014-02-22,search,chrome,56667136.0,56667136.0,61738703.0,56069756.0,55081558.0,61177314.0
2014-02-22,yandex,chrome,21264761.0,21264761.0,23479936.0,20941098.0,21495148.0,23554852.0
2014-02-23,search,chrome,63058986.0,63058986.0,61660153.0,62360845.0,55078773.0,61103793.0
2014-02-23,yandex,chrome,23832281.0,23832281.0,23467987.0,23592692.0,21490758.0,23531262.0
2014-02-24,search,chrome,65276366.0,65276366.0,61581604.0,65167628.0,55075989.0,61103018.0
2014-02-24,yandex,chrome,25188382.0,25188382.0,23456037.0,25064871.0,21486369.0,23547049.0
2014-02-25,search,chrome,63318154.0,63318154.0,61512640.0,63909139.0,55073204.0,61158454.0
2014-02-25,yandex,chrome,24280224.0,24280224.0,23457624.0,24576562.0,21481979.0,23589750.0
2014-02-26,search,chrome,62733612.0,62733612.0,61443676.0,62814903.0,55070419.0,61227232.0
2014-02-26,yandex,chrome,23895482.0,23895482.0,23459211.0,24035984.0,21477589.0,23640367.0
2014-02-27,search,chrome,61971600.0,61971600.0,61325785.0,61749319.0,55067635.0,61242482.0
2014-02-27,yandex,chrome,23847191.0,23847191.0,23438519.0,23740211.0,21473199.0,23668937.0
2014-02-28,search,chrome,58766639.0,58766639.0,61207894.0,58542836.0,55064850.0,61180794.0
2014-02-28,yandex,chrome,22345672.0,22345672.0,23417826.0,22284480.0,21468810.0,23662760.0
2014-03-01,search,chrome,54004633.0,54004633.0,60991496.0,55232328.0,55062065.0,60985456.0
2014-03-01,yandex,chrome,20227180.0,20227180.0,23346493.0,20755728.0,21464420.0,23596110.0
2014-03-02,search,chrome,62374969.0,62374969.0,60775097.0,61005504.0,55059281.0,60696824.0
2014-03-02,yandex,chrome,23988521.0,23988521.0,23275160.0,23197326.0,21460030.0,23486319.0
2014-03-03,search,chrome,65059008.0,65059008.0,60467259.0,63777868.0,55056496.0,60305567.0
2014-03-03,yandex,chrome,25213833.0,25213833.0,23147932.0,24613189.0,21455640.0,23329986.0
2014-03-04,search,chrome,63181873.0,63181873.0,60159420.0,62955559.0,55053711.0,59851763.0
2014-03-04,yandex,chrome,24413750.0,24413750.0,23020704.0,24317953.0,21451251.0,23143316.0
2014-03-05,search,chrome,61418447.0,61418447.0,59793603.0,61575362.0,55050927.0,59388250.0
2014-03-05,yandex,chrome,23702707.0,23702707.0,22856062.0,23672809.0,21446861.0,22949310.0
2014-03-06,search,chrome,59760127.0,59760127.0,59427785.0,60172856.0,55048142.0,58981718.0
2014-03-06,yandex,chrome,22979430.0,22979430.0,22691421.0,23145033.0,21442471.0,22780163.0
2014-03-07,search,chrome,55456250.0,55456250.0,59220991.0,56654600.0,55045357.0,58741769.0
2014-03-07,yandex,chrome,20839839.0,20839839.0,22606762.0,21493859.0,21438081.0,22682031.0
2014-03-08,search,chrome,53951892.0,53951892.0,59014197.0,53004386.0,55042573.0,58634288.0
2014-03-08,yandex,chrome,20112239.0,20112239.0,22522102.0,19817789.0,21433692.0,22638672.0
2014-03-09,search,chrome,56108209.0,56108209.0,59105780.0,58650264.0,55039788.0,58731174.0
2014-03-09,yandex,chrome,21024009.0,21024009.0,22585893.0,22204849.0,21429302.0,22685058.0
2014-03-10,search,chrome,60234527.0,60234527.0,59197364.0,62406853.0,55037003.0,58935671.0
2014-03-10,yandex,chrome,22952031.0,22952031.0,22649683.0,24060184.0,21424912.0,22772876.0
2014-03-11,search,chrome,63152301.0,63152301.0,59561961.0,62420381.0,55034218.0,59292397.0
2014-03-11,yandex,chrome,24549247.0,24549247.0,22845212.0,24145926.0,21420522.0,22927127.0
2014-03-12,search,chrome,62500946.0,62500946.0,59926559.0,61931227.0,55031434.0,59686418.0
2014-03-12,yandex,chrome,24324744.0,24324744.0,23040742.0,23984184.0,21416133.0,23100378.0
2014-03-13,search,chrome,61439122.0,61439122.0,60381396.0,61581816.0,55027778.0,60084861.0
2014-03-13,yandex,chrome,23922033.0,23922033.0,23278187.0,23913603.0,21411059.0,23278383.0
2014-03-14,search,chrome,59197384.0,59197384.0,60836233.0,58685303.0,55024122.0,60396634.0
2014-03-14,yandex,chrome,22855816.0,22855816.0,23515633.0,22609448.0,21405985.0,23424893.0
2014-03-15,search,chrome,54982949.0,54982949.0,61091604.0,55181875.0,55020466.0,60568635.0
2014-03-15,yandex,chrome,20956388.0,20956388.0,23651658.0,21013401.0,21400911.0,23511824.0
2014-03-16,search,chrome,62113936.0,62113936.0,61346974.0,60121336.0,55016810.0,60615589.0
