,date,se,browser,hits,hits_fixed,hits_week_trend,hits_week_seasonal,hits_year_trend,hits_year_seasonal
0,2014-01-01,search,chrome,44778823.0,44778823.0,49612485.67944024,-627504.2894624069,,
1,2014-01-01,yandex,chrome,16237589.0,16237589.0,,,,
2,2014-01-02,search,chrome,52448725.0,52448725.0,51171923.89396235,1219221.1885468126,,
3,2014-01-02,yandex,chrome,18979110.0,18979110.0,,,,
4,2014-01-03,search,chrome,54640145.0,54640145.0,52731362.10848446,488670.9486988323,,
5,2014-01-03,yandex,chrome,19950733.0,19950733.0,,,,
6,2014-01-04,search,chrome,55238621.0,55238621.0,54254495.27105984,-3562548.3761104383,,
7,2014-01-04,yandex,chrome,20260880.0,20260880.0,,,,
8,2014-01-05,search,chrome,56777976.0,56777976.0,55777628.43363522,-495773.1610629595,,
9,2014-01-05,yandex,chrome,20793473.0,20793473.0,,,,
10,2014-01-06,search,chrome,56519674.0,56519674.0,57251707.001341656,1846922.5972544954,,
11,2014-01-06,yandex,chrome,20949727.0,20949727.0,,,,
12,2014-01-07,search,chrome,58185404.0,58185404.0,58725785.5690481,1137430.2340950277,,
13,2014-01-07,yandex,chrome,21712488.0,21712488.0,,,,
14,2014-01-08,search,chrome,61462878.0,61462878.0,59678873.38388571,-427429.7798184842,,
15,2014-01-08,yandex,chrome,22994435.0,22994435.0,,,,
16,2014-01-09,search,chrome,63936130.0,63936130.0,60631961.198723316,1196179.6434159607,,
17,2014-01-09,yandex,chrome,24156088.0,24156088.0,,,,
18,2014-01-10,search,chrome,64614014.0,64614014.0,61184731.1943616,338761.8029625246,,
19,2014-01-10,yandex,chrome,24573289.0,24573289.0,,,,
20,2014-01-11,search,chrome,58488279.0,58488279.0,61737501.18999988,-3799331.543339381,,
21,2014-01-11,yandex,chrome,21778323.0,21778323.0,,,,
22,2014-01-12,search,chrome,61525243.0,61525243.0,61868976.296489954,-576184.0188612947,,
23,2014-01-12,yandex,chrome,23050926.0,23050926.0,,,,
24,2014-01-13,search,chrome,63449114.0,63449114.0,62000451.40298004,1977131.5934835416,,
25,2014-01-13,yandex,chrome,24089549.0,24089549.0,,,,
26,2014-01-14,search,chrome,63447607.0,63447607.0,61858426.08804313,1190820.9892455635,,
27,2014-01-14,yandex,chrome,24119656.0,24119656.0,,,,
28,2014-01-15,search,chrome,62227878.0,62227878.0,61716400.773106225,69344.96540891821,,
29,2014-01-15,yandex,chrome,23669155.0,23669155.0,,,,
30,2014-01-16,search,chrome,62035830.0,62035830.0,61759554.78306417,1191320.3367990577,,
31,2014-01-16,yandex,chrome,23462220.0,23462220.0,,,,
32,2014-01-17,search,chrome,60425019.0,60425019.0,61802708.79302212,100525.9709012126,,
33,2014-01-17,yandex,chrome,22758992.0,22758992.0,,,,
34,2014-01-18,search,chrome,56396716.0,56396716.0,61881670.4535843,-4308220.793544712,,
35,2014-01-18,yandex,chrome,20977634.0,20977634.0,,,,
36,2014-01-19,search,chrome,61290762.0,61290762.0,61960632.11414648,-726187.6841111407,,
37,2014-01-19,yandex,chrome,22936460.0,22936460.0,,,,
